2021-12-12/17:38:59		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-12/17:39:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-12/17:39:00		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-12/17:39:01		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-12/17:39:02		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-12/17:39:02		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-12/17:39:03		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-12/17:39:04		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-12/17:39:04		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-12/17:59:05		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-12/17:59:05		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-12/17:59:05		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-12/17:59:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-12/17:59:06		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-12/17:59:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-12/17:59:07		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-12/17:59:08		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-12/17:59:08		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-12/19:50:41		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-12/19:50:41		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-12/19:50:41		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-12/19:50:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-12/19:50:42		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-12/19:50:42		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-12/19:50:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-12/19:50:44		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-12/19:50:44		 wafer_29012020_050617.csv: File Transformed successfully!!
